カメラ名													
日時													
メモ													
画像W/H	1036 / 784												
ID	dmy	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12
Co_ASI_02		"(870, 552)"	"(870, 556)"	"(869, 561)"	"(869, 565)"	"(895, 566)"	"(896, 554)"	"(870, 552)"					
Co_ASI_04		"(920, 554)"	"(920, 557)"	"(918, 561)"	"(918, 565)"	"(939, 565)"	"(951, 554)"	"(920, 554)"					
Co_Ato_01		"(503, 297)"	"(528, 373)"	"(572, 373)"	"(551, 298)"	"(503, 297)"							
Co_Ato_02		"(608, 297)"	"(615, 376)"	"(646, 376)"	"(642, 298)"	"(608, 297)"							
Co_Clea_01		"(494, 525)"	"(494, 531)"	"(494, 533)"	"(494, 539)"	"(526, 539)"	"(525, 525)"	"(494, 525)"					
Co_Clea_02		"(557, 525)"	"(556, 530)"	"(557, 533)"	"(557, 537)"	"(583, 539)"	"(583, 525)"	"(557, 525)"					
Co_Clea_03		"(340, 521)"	"(339, 526)"	"(350, 531)"	"(350, 536)"	"(385, 535)"	"(368, 521)"	"(340, 521)"					
Co_Clea_04		"(425, 524)"	"(424, 529)"	"(434, 533)"	"(434, 537)"	"(467, 536)"	"(450, 524)"	"(425, 524)"					
Co_Clea_05		"(188, 523)"	"(188, 528)"	"(200, 533)"	"(200, 537)"	"(236, 539)"	"(220, 523)"	"(188, 523)"					
Co_Clea_06		"(250, 523)"	"(250, 528)"	"(257, 531)"	"(257, 537)"	"(283, 536)"	"(269, 523)"	"(250, 523)"					
Co_Cur_01		"(827, 405)"	"(807, 442)"	"(851, 441)"	"(875, 405)"	"(827, 405)"							
Co_Cur_02		"(916, 405)"	"(886, 442)"	"(933, 442)"	"(971, 406)"	"(916, 405)"							
Co_Dov_02		"(1177, 576)"	"(1177, 589)"	"(1169, 605)"	"(1169, 619)"	"(1194, 619)"	"(1206, 578)"	"(1177, 576)"					
Co_Esse_01		"(980, 526)"	"(980, 533)"	"(974, 540)"	"(974, 546)"	"(1000, 546)"	"(1014, 528)"	"(980, 526)"					
Co_Esse_02		"(1028, 556)"	"(1028, 560)"	"(1021, 563)"	"(1021, 567)"	"(1042, 567)"	"(1053, 557)"	"(1028, 556)"					
Co_Esse_04		"(1147, 530)"	"(1147, 536)"	"(1131, 544)"	"(1131, 549)"	"(1174, 550)"	"(1197, 531)"	"(1147, 530)"					
Co_Esse_05		"(1134, 558)"	"(1134, 561)"	"(1127, 566)"	"(1127, 570)"	"(1148, 570)"	"(1160, 558)"	"(1134, 558)"					
Co_Esse_07		"(1053, 529)"	"(1053, 534)"	"(1039, 541)"	"(1039, 547)"	"(1075, 547)"	"(1093, 529)"	"(1053, 529)"					
Co_Esse_08		"(1082, 558)"	"(1082, 561)"	"(1074, 566)"	"(1074, 570)"	"(1096, 570)"	"(1107, 558)"	"(1082, 558)"					
Co_JMO_02		"(724, 463)"	"(722, 484)"	"(744, 486)"	"(747, 462)"	"(724, 463)"							
Co_JMO_04		"(702, 463)"	"(702, 484)"	"(722, 486)"	"(722, 462)"	"(702, 463)"							
Co_JMO_06		"(675, 462)"	"(677, 487)"	"(703, 484)"	"(704, 463)"	"(675, 462)"							
Co_JMO_08		"(747, 463)"	"(745, 484)"	"(767, 486)"	"(772, 462)"	"(747, 463)"							
Co_Lux_01		"(535, 549)"	"(535, 552)"	"(536, 557)"	"(536, 561)"	"(565, 562)"	"(567, 549)"	"(535, 549)"					
Co_Lux_03		"(621, 566)"	"(621, 579)"	"(620, 602)"	"(620, 615)"	"(644, 617)"	"(646, 566)"	"(621, 566)"					
Co_Lux_04		"(714, 568)"	"(714, 582)"	"(710, 604)"	"(710, 619)"	"(754, 620)"	"(757, 568)"	"(714, 568)"					
Co_Lux_05		"(723, 550)"	"(723, 554)"	"(723, 558)"	"(723, 562)"	"(738, 563)"	"(738, 551)"	"(723, 550)"					
Co_Lux_07		"(812, 571)"	"(812, 584)"	"(808, 605)"	"(808, 619)"	"(856, 619)"	"(866, 576)"	"(812, 571)"					
Co_Lux_08		"(938, 575)"	"(938, 588)"	"(925, 605)"	"(925, 619)"	"(995, 619)"	"(1004, 576)"	"(938, 575)"					
Co_Lux_11		"(1040, 575)"	"(1040, 588)"	"(1033, 605)"	"(1033, 619)"	"(1058, 619)"	"(1071, 576)"	"(1040, 575)"					
Co_Lux_12		"(1111, 575)"	"(1111, 588)"	"(1100, 605)"	"(1100, 619)"	"(1137, 619)"	"(1148, 576)"	"(1111, 575)"					
Co_MIN_03		"(203, 299)"	"(269, 372)"	"(288, 373)"	"(255, 301)"	"(203, 299)"							
Co_Revir_01		"(620, 500)"	"(624, 521)"	"(644, 521)"	"(646, 500)"	"(620, 500)"							
Co_Revir_01		"(458, 500)"	"(458, 505)"	"(458, 512)"	"(457, 516)"	"(520, 516)"	"(516, 500)"	"(458, 500)"					
Co_Revir_03		"(647, 500)"	"(646, 523)"	"(654, 523)"	"(655, 500)"	"(647, 500)"							
Co_Revir_04		"(519, 500)"	"(519, 505)"	"(519, 512)"	"(519, 516)"	"(566, 516)"	"(563, 500)"	"(519, 500)"					
Co_SteKN_09		"(1027, 405)"	"(1011, 445)"	"(1079, 446)"	"(1123, 410)"	"(1027, 405)"							
Co_SUMI_01		"(376, 299)"	"(408, 372)"	"(473, 372)"	"(436, 299)"	"(376, 299)"							
Co_TSUB_01		"(1033, 469)"	"(1008, 491)"	"(1039, 489)"	"(1061, 469)"	"(1033, 469)"							
Co_TSUB_02		"(983, 504)"	"(967, 521)"	"(1016, 523)"	"(1061, 505)"	"(983, 504)"							
Co_TSUB_04		"(1264, 507)"	"(1229, 525)"	"(1280, 526)"	"(1280, 509)"	"(1264, 507)"							
Co_TSUB_05		"(1276, 469)"	"(1257, 491)"	"(1279, 489)"	"(1280, 469)"	"(1276, 469)"							
Co_TSUB_07		"(1232, 471)"	"(1195, 489)"	"(1227, 491)"	"(1257, 469)"	"(1232, 471)"							
Co_髪_03		"(836, 526)"	"(836, 533)"	"(838, 536)"	"(838, 541)"	"(867, 542)"	"(871, 528)"	"(836, 526)"					
Co_髪_05		"(646, 526)"	"(646, 531)"	"(651, 535)"	"(651, 540)"	"(675, 541)"	"(671, 528)"	"(646, 526)"					
Co_髪_06		"(705, 528)"	"(705, 533)"	"(705, 536)"	"(705, 541)"	"(736, 542)"	"(740, 528)"	"(705, 528)"					
Co_髪_10		"(773, 526)"	"(773, 533)"	"(773, 536)"	"(773, 541)"	"(801, 542)"	"(804, 528)"	"(773, 526)"					
Et_BOT_01		"(174, 500)"	"(174, 505)"	"(174, 510)"	"(174, 515)"	"(200, 516)"	"(199, 500)"	"(174, 500)"					
Et_Clea_01		"(623, 525)"	"(623, 530)"	"(623, 533)"	"(623, 537)"	"(645, 537)"	"(640, 525)"	"(623, 525)"					
Et_Clea_02		"(603, 525)"	"(602, 531)"	"(603, 533)"	"(603, 539)"	"(624, 539)"	"(619, 525)"	"(603, 525)"					
Et_Clea_03		"(276, 523)"	"(276, 528)"	"(283, 531)"	"(283, 537)"	"(309, 536)"	"(297, 523)"	"(276, 523)"					
Et_Esse_未定		"(1200, 530)"	"(1200, 535)"	"(1184, 542)"	"(1184, 549)"	"(1227, 549)"	"(1250, 530)"	"(1200, 530)"					
Et_Lux_01		"(629, 549)"	"(629, 552)"	"(630, 557)"	"(630, 562)"	"(646, 563)"	"(646, 549)"	"(629, 549)"					
Et_Lux_02		"(687, 547)"	"(687, 551)"	"(687, 561)"	"(687, 565)"	"(709, 562)"	"(710, 550)"	"(687, 547)"					
Et_Lux_03		"(646, 550)"	"(646, 552)"	"(647, 557)"	"(647, 561)"	"(654, 562)"	"(655, 550)"	"(646, 550)"					
Et_Lux_04		"(656, 550)"	"(656, 552)"	"(654, 557)"	"(654, 560)"	"(683, 561)"	"(686, 550)"	"(656, 550)"					
Et_Lux_05		"(755, 551)"	"(755, 555)"	"(756, 560)"	"(756, 563)"	"(770, 565)"	"(771, 552)"	"(755, 551)"					
Et_Lux_06		"(802, 551)"	"(802, 555)"	"(802, 560)"	"(802, 563)"	"(815, 565)"	"(817, 552)"	"(802, 551)"					
Et_Lux_07		"(771, 551)"	"(771, 555)"	"(772, 560)"	"(772, 563)"	"(783, 565)"	"(783, 552)"	"(771, 551)"					
Et_Lux_08		"(785, 551)"	"(785, 555)"	"(785, 560)"	"(785, 563)"	"(798, 565)"	"(799, 552)"	"(785, 551)"					
Et_PT_03		"(398, 546)"	"(398, 550)"	"(399, 556)"	"(398, 560)"	"(421, 562)"	"(424, 546)"	"(398, 546)"					
Et_PT_04		"(424, 546)"	"(424, 550)"	"(425, 556)"	"(425, 561)"	"(455, 562)"	"(456, 546)"	"(424, 546)"					
Et_PT_05		"(263, 546)"	"(263, 550)"	"(264, 556)"	"(264, 560)"	"(287, 562)"	"(289, 546)"	"(263, 546)"					
Et_Pure_02		"(308, 400)"	"(311, 519)"	"(382, 515)"	"(381, 398)"	"(308, 400)"							
Et_Revir_01		"(656, 500)"	"(654, 521)"	"(684, 521)"	"(684, 515)"	"(687, 508)"	"(687, 500)"	"(656, 500)"					
Et_Revir_02		"(687, 500)"	"(686, 521)"	"(702, 521)"	"(702, 515)"	"(703, 508)"	"(703, 500)"	"(687, 500)"					
Et_髪_03		"(935, 529)"	"(935, 534)"	"(934, 537)"	"(934, 542)"	"(949, 544)"	"(953, 529)"	"(935, 529)"					
ID未定		"(1002, 405)"	"(970, 444)"	"(1012, 445)"	"(1027, 405)"	"(1002, 405)"							
ID未定（KNOLLエリア）		"(1126, 405)"	"(1086, 444)"	"(1275, 445)"	"(1280, 409)"	"(1126, 405)"							
Se_Cur_01		"(975, 405)"	"(940, 440)"	"(976, 441)"	"(1000, 405)"	"(975, 405)"							
Se_MIN_01		"(256, 300)"	"(289, 373)"	"(346, 373)"	"(308, 299)"	"(256, 300)"							
Se_PT_02		"(478, 547)"	"(478, 551)"	"(479, 556)"	"(479, 561)"	"(507, 562)"	"(509, 547)"	"(478, 547)"					
Se_Revir_01		"(703, 503)"	"(703, 509)"	"(703, 515)"	"(703, 521)"	"(725, 521)"	"(724, 514)"	"(735, 510)"	"(735, 503)"	"(703, 503)"			
Se_Revir_02		"(736, 502)"	"(736, 508)"	"(725, 515)"	"(725, 523)"	"(760, 521)"	"(760, 514)"	"(771, 509)"	"(771, 502)"	"(736, 502)"			
Sh_ami_01		"(571, 404)"	"(582, 439)"	"(631, 436)"	"(628, 405)"	"(571, 404)"							
