カメラ名								
日時								
メモ								
画像W/H	1096 / 822							
ID	dmy	P1	P2	P3	P4	P5	P6	P7
BOTANIST		"(75, 530)"	"(71, 573)"	"(295, 594)"	"(295, 575)"	"(295, 555)"	"(295, 535)"	"(75, 530)"
CLEAR		"(75, 585)"	"(71, 607)"	"(295, 618)"	"(295, 608)"	"(295, 598)"	"(295, 587)"	"(75, 585)"
Co_Ato_01		"(475, 290)"	"(499, 367)"	"(541, 367)"	"(521, 291)"	"(475, 290)"		
Co_Ato_02		"(575, 291)"	"(584, 369)"	"(626, 369)"	"(620, 292)"	"(575, 291)"		
Co_Cur_01		"(827, 395)"	"(806, 439)"	"(850, 438)"	"(874, 395)"	"(827, 395)"		
Co_Cur_02		"(914, 396)"	"(884, 438)"	"(933, 438)"	"(971, 398)"	"(914, 396)"		
Co_MIN_03		"(192, 293)"	"(255, 364)"	"(272, 364)"	"(241, 294)"	"(192, 293)"		
Co_SteKN_09		"(1025, 398)"	"(1009, 441)"	"(1077, 441)"	"(1121, 403)"	"(1025, 398)"		
Co_SUMI_01		"(355, 292)"	"(385, 364)"	"(447, 364)"	"(412, 293)"	"(355, 292)"		
"Dove
モイスチャーケア
詰め替え"		"(1153, 629)"	"(1147, 653)"	"(1210, 653)"	"(1194, 631)"	"(1153, 629)"		
Et_Pure_02		"(291, 395)"	"(294, 515)"	"(361, 512)"	"(360, 392)"	"(291, 395)"		
ID未定		"(997, 399)"	"(967, 440)"	"(1007, 441)"	"(1021, 399)"	"(997, 399)"		
ID未定（KNOLLエリア）		"(1124, 398)"	"(1083, 440)"	"(1273, 441)"	"(1278, 403)"	"(1124, 398)"		
"LUX
うねりケア
詰め替え"		"(1010, 627)"	"(1011, 653)"	"(1069, 653)"	"(1065, 629)"	"(1010, 627)"		
"LUX
うねりケア
詰め替え（お徳用）"		"(1066, 629)"	"(1066, 653)"	"(1142, 653)"	"(1154, 629)"	"(1066, 629)"		
"LUX
スーパーリチシャイン
詰め替え"		"(519, 622)"	"(520, 653)"	"(621, 654)"	"(620, 622)"	"(519, 622)"		
"LUX
スーパーリチシャイン
詰め替え（お徳用）"		"(624, 621)"	"(624, 653)"	"(771, 654)"	"(754, 626)"	"(624, 621)"		
"LUX
ダメーリジペア
詰め替え"		"(758, 625)"	"(758, 653)"	"(862, 653)"	"(860, 626)"	"(758, 625)"		
